                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.4607,                0.31547,                0.90012,                0.80259,                0.94383,                0.85261,                0.73259,                0.94115,                0.51875,                 1.2774,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.4441,                0.32103,                0.89105,                0.74211,                0.90741,                0.82627,                0.70756,                0.90592,                0.67383,                 1.2267,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.4456,                0.31307,                0.89828,                0.82874,                0.93167,                0.84874,                0.71919,                0.86239,                0.64227,                 1.1851,              0.0002773,              0.0002773,              0.0002773
                     75,                0.43764,                0.30604,                 0.8961,                 0.6508,                0.92798,                0.79321,                0.66082,                0.95031,                 0.6787,                  1.253,              0.0002674,              0.0002674,              0.0002674
                     76,                0.44799,                0.31463,                0.89006,                0.80807,                0.90766,                0.85797,                0.67496,                0.96271,                0.57069,                 1.2702,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.4315,                0.30936,                0.88935,                0.76784,                0.91787,                0.85351,                0.72093,                0.88733,                0.57122,                 1.1716,              0.0002476,              0.0002476,              0.0002476
                     78,                0.41991,                0.30075,                0.89114,                0.81241,                0.93419,                0.85456,                0.70835,                0.91882,                 0.5222,                  1.235,              0.0002377,              0.0002377,              0.0002377
                     79,                0.41411,                0.29897,                0.87668,                0.83887,                0.91468,                0.84382,                0.70022,                0.90135,                0.62329,                  1.188,              0.0002278,              0.0002278,              0.0002278
                     80,                0.42886,                0.29897,                 0.8863,                 0.8166,                 0.9461,                0.86025,                0.72843,                 0.9186,                  0.539,                 1.2471,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.4162,                0.29905,                0.88091,                0.84884,                0.92181,                 0.8504,                0.70854,                 0.9804,                0.54462,                  1.233,               0.000208,               0.000208,               0.000208
                     82,                0.41538,                0.29022,                0.88092,                0.85487,                0.93784,                0.85308,                0.69928,                0.92093,                0.51606,                 1.2019,              0.0001981,              0.0001981,              0.0001981
